Hospital Name,Lab Name,Address,City,Postcode,"Lab type 
(Academic, Public, Private)","Offer PD-L1 Testing 
(Yes/No/Validating)",When did you start testing?,"PD-L1 Testing Performed 
(In house/ Send out)",Name of Sendout Lab,"PD-L1 Diagnostic algorithm 
(Individual, Panel, Reflex)","PD-L1 volume (NSCLC) 
for April to May","EGFR volume (NSCLC) 
for April to May","ALK volume (NSCLC) 
for April to May","
NSCLC volume 
for April to May","Number of Methods 
for PD-L1","Methodology 
(LDT/Kit/Both)","LDT PD-L1 
Antibody(ies)","PD-L1 Kit 
28-8 Dako Kit ","PD-L1 Kit 
22C3 Dako Kit ","PD-L1 Kit 
SP263 
Ventana Kit ","Laboratory Algorithm  
(Parallel, Sequential)",PD-L1 Platform/ Autostainer 1,PD-L1 Platform/ Autostainer 2,"Clinical cut-off
(50%, 10%, 1%, 
Reporting percentage tumor cells expressed)","PD-L1 Expression level at
?1%","PD-L1 Expression level at
overall ?50% ","PD-L1 
Average TAT",Report Style,PD-L1 Funding (Local/ Pharma),Comments,filename,worksheetname,Country,data_collection_period_start,date_collection_period_end,Disease,Unnamed: 37,worksheet,country,year,firstdate,seconddate
Hospices civils du Lyon : Groupement Hospitalier Est ,Service d’Anatomie Pathologique ,59 Bd Pinel ,Bron (Lyon),69677.0,Academic,Yes,Nov-16,In house,,Panel,200.0,200.0,200.0,200.0,1.0,LDT,22C3,,,,Parallel,Ventana,,Reporting percentage tumor cells expressed,,,7.0,Descriptive,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2017,France,1-Apr-17,31-May-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital Charles Nicolle,Laboratoire d'anatomopathologie et de génétique moléculaire/ Laboratoire de génétique somatique des tumeurs,1 rue de Germont,Rouen Cedex,76031.0,Academic,Yes,2016,In house,,Panel,130.0,130.0,130.0,130.0,1.0,LDT,E1L3N,,,,Parallel,Ventana,,Reporting percentage tumor cells expressed,56%,10%,2.0,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2017,France,2-Apr-17,1-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
CO n°34 Hôpital Central,Laboratoire d'anatomopathologie/ Service d'anatomie et de cytologie pathologiques,29 avenue du Maréchal de Lattre de tassigny,Nancy Cedex,54035.0,Academic,Yes,2016,In house,,Individual,105.0,330.0,330.0,330.0,1.0,LDT,E1L3N,,,,Sequential,Ventana,Leica,Reporting percentage tumor cells expressed,55%,5%,4.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2017,France,3-Apr-17,2-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Institut Gustave Roussy,Laboratoire de Biologie Moléculaire/Département de biologie et de Pathologie Méeicales,114 rue Edouard Vaillant,Paris Villejuif Cedex,94805.0,Private,Yes,Mar-17,In house,,Panel,100.0,100.0,100.0,100.0,2.0,Both,28-8,,,Yes,Parallel,Ventana,,Reporting percentage tumor cells expressed,65%,25%,3.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2017,France,4-Apr-17,3-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
"Centre Jean Perrin,",LBM OncoGènAuvergne,"58 Rue Montalembert, BP392",Clermont-Ferrand Cédex 1,63011.0,Hospital,Yes,Feb-17,In house,,Individual,100.0,194.0,194.0,194.0,2.0,Both,E1L3N,,,Yes,Sequential,Ventana,Dako,Reporting percentage tumor cells expressed,,,2.0,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2017,France,5-Apr-17,4-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital Emile Muller,Laboratoire de Cytogénétique Hôpital Emile Muller,20 rue du Dr. Laennec,Mulhouse Cedex,68070.0,Hospital,Yes,2016,In house,,Individual,85.0,285.0,285.0,285.0,1.0,LDT,E1L3N,,,,Sequential,Ventana,,Reporting percentage tumor cells expressed,53%,5%,4.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2017,France,6-Apr-17,5-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital Saint-Louis,Laboratoire d'anatomopathologie/Laboratoire de Biologie Moléculaire/ Service d'anatomie pathologique,1 avenue Claude Vellefaux,Paris cedex 10,75475.0,Hospital,Yes,2016,In house,,Individual,74.0,190.0,190.0,190.0,2.0,Both,SP142,,,Yes,Sequential,Ventana,Leica,Reporting percentage tumor cells expressed,50%,12%,4.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2017,France,7-Apr-17,6-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Centre Hospitalier Lyon Sud,Service d'anatomie pathologiques et Service de Biochimie,"165 chemin du Grand Revoyet,",Pierre Bénite,69495.0,Academic,Yes,Apr-17,In house,,Panel,70.0,82.0,82.0,82.0,2.0,LDT,E1L3N; SP142,,,,Parallel,Ventana,,Reporting percentage tumor cells expressed,,,5.0,Descriptive,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2017,France,8-Apr-17,7-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
"Hôpitaux Universitaires Paris Est, site Tenon",Unité de génomique des Tumeurs Solides/Laboratoire d'anatomopathologie,4 rue de la Chine,Paris cedex 20,75970.0,Hospital,Yes,2016,In house,,Individual,59.0,212.0,212.0,212.0,2.0,LDT,E1L3N; SP142,,,,Sequential,Ventana,,Reporting percentage tumor cells expressed,47%,5%,4.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2017,France,9-Apr-17,8-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
AP-HP - Hôpital Hôtel Dieu,Service d'Anatomie et de Cytologie Pathologiques,1 place du Parvis Notre Dame,Paris ,75181.0,Hospital,Yes,2016,In house,,Individual,55.0,144.0,144.0,144.0,1.0,Kit,,,,Yes,Sequential,Ventana,Leica,Reporting percentage tumor cells expressed,,,4.0,,Local,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2017,France,10-Apr-17,9-Jun-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
