Hospital Name,Lab Name,Address,City,Postcode,"Lab type 
(Academic, Public, Private)","Offer PD-L1 Testing 
(Yes/No/Validating)",When did you start testing?,"PD-L1 Testing Performed 
(In house/ Send out)",Name of Sendout Lab,"PD-L1 Diagnostic algorithm 
(Individual, Panel, Reflex)","PD-L1 volume (NSCLC) 
for February to March","EGFR volume (NSCLC) 
for February to March","ALK volume (NSCLC) 
for February to March","
NSCLC volume 
for February to March","Number of Methods 
for PD-L1","Methodology 
(LDT/Kit/Both)","LDT PD-L1 
Antibody(ies)","PD-L1 Kit 
28-8 Dako Kit ","PD-L1 Kit 
22C3 Dako Kit ","PD-L1 Kit 
SP263 
Ventana Kit ","Laboratory Algorithm  
(Parallel, Sequential)",PD-L1 Platform/ Autostainer 1,PD-L1 Platform/ Autostainer 2,"Clinical cut-off
(50%, 10%, 1%, 
Reporting percentage tumor cells expressed)","PD-L1 Expression level at
?1%","PD-L1 Expression level at
overall ?50% ","Positivity for 
1% cut-off","Positivity for 
5% cut-off","Positivity for 
15% cut-off","Positivity for 
20% cut-off","Positivity for 
25% cut-off","Positivity for 
50% cut-off","PD-L1 
Average TAT",Report Style,PD-L1 Funding (Local/ Pharma),comments,filename,worksheetname,Country,data_collection_period_start,date_collection_period_end,Disease,worksheet,country,year,firstdate,seconddate
CO n°34 Hôpital Central,Laboratoire d'anatomopathologie/ Service d'anatomie et de cytologie pathologiques,29 avenue du Maréchal de Lattre de tassigny,Nancy Cedex,54035.0,Academic,Yes,2016,In house,,Individual,105.0,330.0,330.0,330.0,1.0,LDT,E1L3N,,,,Sequential,Ventana,Leica,Reporting percentage tumor cells expressed,55%,5%,Over 50%,-,-,-,-,5%,4.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2017,France,2/1/2017,3/31/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
Hôpital Emile Muller,Laboratoire de Cytogénétique Hôpital Emile Muller,20 rue du Dr. Laennec,Mulhouse Cedex,68070.0,Hospital,Yes,2016,In house,,Individual,85.0,285.0,285.0,285.0,1.0,LDT,E1L3N,,,,Sequential,Ventana,,Reporting percentage tumor cells expressed,53%,5%,Over 50%,-,0%,-,-,5%,4.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2018,France,2/2/2017,4/1/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
"Hôpitaux Universitaires Paris Est, site Tenon",Unité de génomique des Tumeurs Solides/Laboratoire d'anatomopathologie,4 rue de la Chine,Paris cedex 20,75970.0,Hospital,Yes,2016,In house,,Individual,60.0,213.0,213.0,213.0,2.0,LDT,"E1L3N, SP142",,,,Sequential,Ventana,,Reporting percentage tumor cells expressed,47%,5%,Over 50%,-,-,-,-,5%,4.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2019,France,2/3/2017,4/2/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
Hôpital Saint-Louis,Laboratoire d'anatomopathologie/Laboratoire de Biologie Moléculaire/ Service d'anatomie pathologique,1 avenue Claude Vellefaux,Paris cedex 10,75475.0,Hospital,Yes,2016,In house,,Individual,75.0,189.0,189.0,189.0,2.0,Both,SP142,,,Yes,Sequential,Ventana,Leica,Reporting percentage tumor cells expressed,50%,12%,Over 50%,-,-,-,10%,-,4.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2020,France,2/4/2017,4/3/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
"Centre Jean Perrin,",LBM OncoGènAuvergne,"58 Rue Montalembert, BP392",Clermont-Ferrand Cédex 1,63011.0,Hospital,Yes,Feb-17,In house,,Individual,66.0,185.0,185.0,185.0,2.0,Both,E1L3N,,,Yes,Sequential,Ventana,Dako,Reporting percentage tumor cells expressed,,,,,,,,,2.0,,,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2021,France,2/5/2017,4/4/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
Hôpital de la Timone,Laboratoire d'anatomopathologie/ 2ème étage Bâtime Timone 2,264 rue St Pierre,Marseille cedex 5,13385.0,Hospital,Yes,2016,In house,,Individual,77.0,171.0,171.0,171.0,2.0,Both,SP142,,,Yes,Sequential,Ventana,,Reporting percentage tumor cells expressed,52%,8%,Over 50%,-,-,-,10%,-,4.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2022,France,2/6/2017,4/5/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
AP-HP - Hôpital Hôtel Dieu,Service d'Anatomie et de Cytologie Pathologiques,1 place du Parvis Notre Dame,Paris ,75181.0,Hospital,Yes,2016,In house,,Individual,55.0,144.0,144.0,144.0,1.0,Kit,,,,Yes,Sequential,Ventana,Leica,Reporting percentage tumor cells expressed,,,Over 50%,-,-,-,10%,-,4.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2023,France,2/7/2017,4/6/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
Hôpital Nord (Bat C/ niveau -1),Laboratoire d'anatomopathologie et de génétique moléculaire,25 Boulevard Pasteur,Saint-Etienne Cedex 02,42055.0,Academic,Yes,2016,In house,,Individual,43.0,144.0,144.0,144.0,1.0,LDT,E1L3N,,,,Sequential,Ventana,,Reporting percentage tumor cells expressed,58%,10%,Over 50%,-,-,-,-,9%,4.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2024,France,2/8/2017,4/7/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
Centre Georges-François Leclerc,Laboratoire d'anatomopathologie/Laboratoire de Biologie Moléculaire/ Unité d'natomie et de cytologie pathologique,1 rue du Professeur Marion BP 77980,Dijon Cedex,21000.0,Private,Yes,2016,In house,,Individual,33.0,134.0,134.0,134.0,2.0,Both,SP142,,,Yes,Sequential,Ventana,,Reporting percentage tumor cells expressed,48%,11%,Over 50%,-,-,-,10%,-,4.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2025,France,2/9/2017,4/8/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
UF de biologie cellulaire,Laboratoire de Biologie Moléculaire/ Pôle de biologie - laboratoire Pol Bouin,45 rue Cognacq-Jay,Reims cedex,51092.0,Academic,Yes,2016,In house,,Individual,37.0,128.0,128.0,128.0,1.0,LDT,E1L3N,,,,Sequential,Ventana,,Reporting percentage tumor cells expressed,,,Over 50%,-,-,-,-,-,4.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2026,France,2/10/2017,4/9/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
Hôpital européen Georges-Pompidou,Laboratoire de Biochimie/ UF de Pharmacogénétique et Oncologie Moléculaire HEGP,"20, rue Leblanc",Paris cedex 15,75908.0,Hospital,Yes,2016,In house,,Individual,35.0,119.0,119.0,119.0,2.0,LDT,"28-8, E1L3N",,,,Sequential,Ventana,Leica,Reporting percentage tumor cells expressed,,,Over 50%,-,-,-,-,-,4.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2027,France,2/11/2017,4/10/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
Hôpital Edouard Herriot,Laboratoire d'Anatomie Pathologique/ UF biologie des tumeurs,5 place d'Arsonval,Lyon Cedex 03,69437.0,Academic,Yes,2016,In house,,Individual,28.0,101.0,101.0,101.0,1.0,Kit,,,,Yes,Sequential,Ventana,,Reporting percentage tumor cells expressed,49%,9%,Over 50%,-,-,-,10%,-,4.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2028,France,2/12/2017,4/11/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
"CHU de Nancy, Hôpital de Brabois",Service de Génétique,Allé du Morvan,Nancy,54035.0,Hospital,Validating,,In house,,,,100.0,100.0,100.0,2.0,LDT,E1L3N; SP142,,,,,Ventana,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2029,France,2/13/2017,4/12/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
Site Hôpital Bichat,Laboratoire d'anatomopathologie/Laboratoire de Biologie Moléculaire/ Département de Pathologie Beaujon-Bichat,46 rue Henry Huchard,Paris cedex 18,75877.0,Hospital,Yes,2016,In house,,Individual,28.0,95.0,95.0,95.0,2.0,Both,SP142,,,Yes,Sequential,Ventana,Leica,Reporting percentage tumor cells expressed,49%,8%,Over 50%,-,-,-,10%,-,4.0,,Local,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2030,France,2/14/2017,4/13/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
CHU de Bordeaux Hôpital Haut-Lévêque ,Service de Biologie des tumeurs,CHU de Bordeaux Hôpital Haut-Lévêque ,Bordeaux,33604.0,Academic,Validating,,In house,,,,93.0,93.0,93.0,1.0,LDT,22C3,,,,,Ventana,Leica,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2031,France,2/15/2017,4/14/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
Hôpital Gui de Chauliac,Département de Biopathologie cellulaire et tissulaire des tumeurs/Laboratoire d'anatomie et de cytologie pathologique,80 avenue Augustin fliche,Montpellier Cedex 05,34295.0,Academic,Validating,,In house,,,,88.0,88.0,88.0,2.0,Both,E1L3N; SP142,,,Yes,Sequential,Ventana,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Feb-Mar 2017,France Febr-March 2032,France,2/16/2017,4/15/2017,Lung,France Feb-Mar 2017,france,2017,2017-02-01,2017-03-01
