Lab/Hospital Name,Street 1,Postcode,City,State/Region,"Lab type 
(Academic, Public, Private)","Offer PD-L1 Testing 
(Yes/No/Validating)",When did you start testing?,"PD-L1 Testing Performed 
(In house/ Send out)",Name of Sendout Lab,"PD-L1 Diagnostic algorithm 
(Individual, Panel, Reflex)","PD-L1 volume (NSCLC) 
for November to January","EGFR volume (NSCLC) 
for November to January","ALK volume (NSCLC) 
for November to January","
NSCLC volume 
for November to January","Number of Methods 
for PD-L1","Methodology 
(LDT/Kit/Both)","LDT PD-L1 
Antibody(ies)","PD-L1 Kit 
28-8 Dako Kit ","PD-L1 Kit 
22C3 Dako Kit ","PD-L1 Kit 
SP263 Ventana Kit ","Laboratory Algorithm  
(Parallel, Sequential)","PD-L1 Platform/ 
Autostainer 1","PD-L1 Platform/ 
Autostainer 2","Clinical cut-off
(50%, 10%, 1%, 
Reporting percentage tumor cells expressed)","PD-L1 Expression level at
?1%","PD-L1 Expression level at
overall ?50% ","PD-L1 
Average TAT","PD-L1 Funding 
(Local/ Pharma)",Comments,filename,worksheetname,Country,data_collection_period_start,date_collection_period_end,Disease,worksheet,country,year,firstdate,seconddate
CO n°34 Hôpital Central,Laboratoire d'anatomopathologie/ Service d'anatomie et de cytologie pathologiques,29 avenue du Maréchal de Lattre de tassigny,Nancy Cedex,54035.0,Academic,Yes,2016,In house,,Individual,75.0,570.0,570.0,570.0,1.0,LDT,E1L3N,,,,Sequential,Ventana,Leica,Reporting percentage tumor cells expressed,55%,5%,4.0,Local,,France PDL1 Excel_worksheet_France Nov-Jan 2017,France Nov 2016-Jan 2017,France,,,Lung,France Nov-Jan 2017,france,2017,2017-11-01,2018-01-01
Hôpital Emile Muller,Laboratoire de Cytogénétique Hôpital Emile Muller,20 rue du Dr. Laennec,Mulhouse Cedex,68070.0,Hospital,Yes,2016,In house,,Individual,65.0,345.0,345.0,345.0,1.0,LDT,E1L3N,,,,Sequential,Ventana,,Reporting percentage tumor cells expressed,53%,5%,4.0,Local,,France PDL1 Excel_worksheet_France Nov-Jan 2017,France Nov 2016-Jan 2017,France,,,Lung,France Nov-Jan 2017,france,2017,2017-11-01,2018-01-01
Hôpital de la Timone,Laboratoire d'anatomopathologie/ 2ème étage Bâtime Timone 2,264 rue St Pierre,Marseille cedex 5,13385.0,Hospital,Yes,2016,In house,,Individual,63.0,285.0,285.0,285.0,2.0,Both,SP142,,,Yes,Sequential,Ventana,,Reporting percentage tumor cells expressed,52%,8%,4.0,Local,,France PDL1 Excel_worksheet_France Nov-Jan 2017,France Nov 2016-Jan 2017,France,,,Lung,France Nov-Jan 2017,france,2017,2017-11-01,2018-01-01
UF de biologie cellulaire,Laboratoire de Biologie Moléculaire/ Pôle de biologie - laboratoire Pol Bouin,45 rue Cognacq-Jay,Reims cedex,51092.0,Academic,Yes,2016,In house,,Individual,57.0,213.0,213.0,213.0,1.0,LDT,E1L3N,,,,Sequential,Ventana,,Reporting percentage tumor cells expressed,,,4.0,Local,,France PDL1 Excel_worksheet_France Nov-Jan 2017,France Nov 2016-Jan 2017,France,,,Lung,France Nov-Jan 2017,france,2017,2017-11-01,2018-01-01
Hôpital Saint-Louis,Laboratoire d'anatomopathologie/Laboratoire de Biologie Moléculaire/ Service d'anatomie pathologique,1 avenue Claude Vellefaux,Paris cedex 10,75475.0,Hospital,Yes,2016,In house,,Individual,52.0,258.0,258.0,258.0,2.0,Both,SP142,,,Yes,Sequential,Ventana,Leica,Reporting percentage tumor cells expressed,50%,12%,4.0,Local,,France PDL1 Excel_worksheet_France Nov-Jan 2017,France Nov 2016-Jan 2017,France,,,Lung,France Nov-Jan 2017,france,2017,2017-11-01,2018-01-01
AP-HP - Hôpital Hôtel Dieu,Service d'Anatomie et de Cytologie Pathologiques,1 place du Parvis Notre Dame,Paris ,75181.0,Hospital,Yes,2016,In house,,Individual,48.0,174.0,174.0,174.0,1.0,Kit,,,,Yes,Sequential,Ventana,Leica,Reporting percentage tumor cells expressed,,,4.0,Local,,France PDL1 Excel_worksheet_France Nov-Jan 2017,France Nov 2016-Jan 2017,France,,,Lung,France Nov-Jan 2017,france,2017,2017-11-01,2018-01-01
Hôpital Saint-Antoine,Laboratoire d'anatomopathologie/ Service d'anatomie et de Cytologie pathologiques,184 rue du Faubourg Saint Antoine,Paris cedex 12,75571.0,Hospital,Yes,2016,In house,,Individual,45.0,144.0,144.0,144.0,1.0,LDT,22C3,,,,Sequential,Ventana,Leica,Reporting percentage tumor cells expressed,,,4.0,Local,,France PDL1 Excel_worksheet_France Nov-Jan 2017,France Nov 2016-Jan 2017,France,,,Lung,France Nov-Jan 2017,france,2017,2017-11-01,2018-01-01
Hôpital Charles Nicolle,Laboratoire d'anatomopathologie et de génétique moléculaire/ Laboratoire de génétique somatique des tumeurs,1 rue de Germont,Rouen Cedex,76031.0,Academic,Yes,2016,In house,,Individual,39.0,39.0,27.0,39.0,1.0,LDT,E1L3N,,,,Sequential,Leica,,Reporting percentage tumor cells expressed,56%,10%,4.0,Local,,France PDL1 Excel_worksheet_France Nov-Jan 2017,France Nov 2016-Jan 2017,France,,,Lung,France Nov-Jan 2017,france,2017,2017-11-01,2018-01-01
Centre Georges-François Leclerc,Laboratoire d'anatomopathologie/Laboratoire de Biologie Moléculaire/ Unité d'natomie et de cytologie pathologique,1 rue du Professeur Marion BP 77980,Dijon Cedex,27079.0,Private,Yes,2016,In house,,Individual,36.0,231.0,231.0,231.0,2.0,Both,SP142,,,Yes,Sequential,Ventana,,Reporting percentage tumor cells expressed,48%,11%,4.0,Local,,France PDL1 Excel_worksheet_France Nov-Jan 2017,France Nov 2016-Jan 2017,France,,,Lung,France Nov-Jan 2017,france,2017,2017-11-01,2018-01-01
Site Hôpital Bichat,Laboratoire d'anatomopathologie/Laboratoire de Biologie Moléculaire/ Département de Pathologie Beaujon-Bichat,46 rue Henry Huchard,Paris cedex 18,75877.0,Hospital,Yes,2016,In house,,Individual,36.0,159.0,159.0,159.0,2.0,Both,SP142,,,Yes,Sequential,Ventana,Leica,Reporting percentage tumor cells expressed,49%,8%,4.0,Local,,France PDL1 Excel_worksheet_France Nov-Jan 2017,France Nov 2016-Jan 2017,France,,,Lung,France Nov-Jan 2017,france,2017,2017-11-01,2018-01-01
Hôpital du Bocage,"Laboratoire d'anatomopathologie et de biologie moléculaire /chromosomique et moléculaire/ Plateau technique de Biologie, Service de pathologie",2 rue Angélique Ducoudray BP,Dijon,37013.0,Academic,Yes,2016,In house,,Individual,30.0,144.0,144.0,144.0,1.0,Kit,,,,Yes,Sequential,Ventana,,Reporting percentage tumor cells expressed,52%,7%,4.0,Local,,France PDL1 Excel_worksheet_France Nov-Jan 2017,France Nov 2016-Jan 2017,France,,,Lung,France Nov-Jan 2017,france,2017,2017-11-01,2018-01-01
Hôpital européen Georges-Pompidou,Laboratoire de Biochimie/ UF de Pharmacogénétique et Oncologie Moléculaire HEGP,"20, rue Leblanc",Paris cedex 15,75908.0,Hospital,Yes,2016,In house,,Individual,30.0,144.0,144.0,144.0,2.0,LDT,E1L3N; 28-8,,,,Sequential,Ventana,Leica,Reporting percentage tumor cells expressed,,,4.0,Local,,France PDL1 Excel_worksheet_France Nov-Jan 2017,France Nov 2016-Jan 2017,France,,,Lung,France Nov-Jan 2017,france,2017,2017-11-01,2018-01-01
"Hôpitaux Universitaires Paris Est, site Tenon",Unité de génomique des Tumeurs Solides/Laboratoire d'anatomopathologie,4 rue de la Chine,Paris cedex 20,75970.0,Hospital,Yes,2016,In house,,Individual,30.0,258.0,258.0,258.0,1.0,LDT,E1L3N,,,,Sequential,Ventana,,Reporting percentage tumor cells expressed,47%,5%,4.0,Local,,France PDL1 Excel_worksheet_France Nov-Jan 2017,France Nov 2016-Jan 2017,France,,,Lung,France Nov-Jan 2017,france,2017,2017-11-01,2018-01-01
CHRU Besançon - Bâtiment bleu niv +2,Laboratoire de Biologie Médicale,3 boulevard Alexandre Fleming,Besançon,25000.0,Hospital,Yes,2016,In house,,Individual,25.0,69.0,69.0,69.0,2.0,Both,SP142,,,Yes,Parallel,Ventana,,Reporting percentage tumor cells expressed,46%,13%,4.0,Local,,France PDL1 Excel_worksheet_France Nov-Jan 2017,France Nov 2016-Jan 2017,France,,,Lung,France Nov-Jan 2017,france,2017,2017-11-01,2018-01-01
